Name,Address,Website,Latitude,Longitude
In Situ Mezcalería,,https://twitter.com/insitumezcal,17.0631132,-96.7263144
"Mezcal ""Los Ancestros""",". Ma. Pino Suárez 604, Centro Histórico, Oaxaca, México.",https://www.facebook.com/losamantesmezcaleria?fref=ts,17.1184711,-96.7530518
Cuish Mezcales de Agaves Silvestres,"Diaz Ordaz No.712,Colonia Centro, Oaxaca, México.",https://www.facebook.com/mezcalcuish.mx,17.0562401,-96.7297821
Remedios Mezcaleria Y pulquesfinos,,https://www.facebook.com/mezcaleria.ypulquesfinos/about,17.0625139,-96.7294906
Atemporal,,https://www.facebook.com/restauranteatemporal,17.0760607,-96.7197382
"Mezcal ""Del Maguey""","Macedonio Alcalá No. 403 L-7, Colonia Centro, Oaxaca, México.",www.mezcal.com,17.0650501,-96.7239532
"Mezcal ""Embajador de Oaxaca""","Diagonal del Panteón s/n, esq. Independencia 523Col. Reforma, Oaxaca, México.",www.mezcalembajador.com.mx,17.1016293,-96.7508163
"Mezcal ""Koch""","Clzd. Héroes de Chapultepec No. 304, Col. CentroOaxaca, México. ",www.mezcalkoch.com,17.0722103,-96.7232971
"Cremas de Mezcal ""Fruti Cream""","Calle 20 de Noviembre # 408-B, Colonia Centro, Oaxaca, México.",www.mezcalorodeoaxaca.com.mx,17.0589504,-96.7272263
"Mezcal ""Oro de Oaxaca""","Calle 20 de Noviembre # 408-B, Colonia Centro, Oaxaca, México.",www.mezcalorodeoaxaca.com.mx,17.0589504,-96.7272263
"Mezcal ""Casco Legendario"""," Pino Suárez 604, Centro Histórico, Oaxaca, México.",http://www.mezcalesdeoaxaca.com/,17.1184711,-96.7530518
"Mezcal ""Memorable""","16 de Septiembre No. 330, Colonia Barrio Bajo,Miahuatlán de Porfirio Díaz, Oaxaca, México.",http://www.mezcalesdeoaxaca.com/,16.3351498,-96.5992508
"Mezcal ""El Cortijo""","5 de Mayo 305-A, entre Murguía y Abasolo Colonia Centro, Oaxaca, México.",http://www.mezcalesdeoaxaca.com/,17.0682587,-96.71688
"Mezcal ""8 Viboras""","Av. Polanco No. 83, Col. Bosque de ChapultepecDel. Miguel Hidalgo, Distrito Federal, México.",http://www.mezcalesdeoaxaca.com/,19.4306431,-99.1901093
"Mezcal ""Fandango""",Blvrd Atlixcayotl No. 5208-6Puebla México,http://www.mezcalesdeoaxaca.com/,18.9191494,-98.4351196
"Mezcal ""Agave de Cortes""","Camino a la Presa s/n,Santiago Matatlán, Oaxaca, México.",http://www.mezcalesdeoaxaca.com/,16.8696861,-96.3682785
"Mezcal ""Zignum","Carretera Internacional Cristóbal Colón Km. 28.5 Paraje Lannaci Tlacolula de Matamoros Oaxaca, México.",http://www.mezcalesdeoaxaca.com/,16.9579697,-96.4731522
"Mezcal ""Benevá""","Colón No. 518-A, Colonia Centro, Oaxaca, México.",http://www.mezcalesdeoaxaca.com/,17.1018867,-96.7358856
"Cremas de Mezcal ""El Mayordomo""","Constitucion No. 404-A, entre Libres y Pino Suárez, Colonia Centro, Oaxaca, México.",http://www.mezcalesdeoaxaca.com/,17.0649605,-96.7191315
"Mezcal ""La Niña del Mezcal""","Las Delicias #2, Col. CentroSantiago Matatlán, Oaxaca, México.",http://www.mezcalesdeoaxaca.com/,16.8687,-96.3853378